InputSize,Time(ms)
1000,0.0012
2000,0.0021
3000,0.0026
4000,0.0033
5000,0.0051
6000,0.0057
7000,0.0064
8000,0.007
9000,0.0076
10000,0.0083
11000,0.009
12000,0.0097
13000,0.0104
14000,0.0109
15000,0.0115
16000,0.0121
17000,0.0173
18000,0.0182
19000,0.0185
20000,0.0192
21000,0.02
22000,0.0204
23000,0.021
24000,0.0217
25000,0.0223
26000,0.0228
27000,0.0234
28000,0.024
29000,0.0246
30000,0.0253
31000,0.026
32000,0.0265
33000,0.0273
34000,0.0278
35000,0.0284
36000,0.0289
37000,0.0295
38000,0.0301
39000,0.0307
40000,0.0313
41000,0.0319
42000,0.0326
43000,0.0335
44000,0.0339
45000,0.0348
46000,0.0351
47000,0.0357
48000,0.0363
49000,0.0369
50000,0.0375
51000,0.038
52000,0.0388
53000,0.0394
54000,0.0399
55000,0.0406
56000,0.0412
57000,0.0419
58000,0.0424
59000,0.0429
60000,0.0436
61000,0.0442
62000,0.0447
63000,0.0453
64000,0.0458
65000,0.0465
66000,0.1389
67000,0.1235
68000,0.1705
69000,0.1514
70000,0.1482
71000,0.1559
72000,0.1366
73000,0.152
74000,0.1185
75000,0.1331
76000,0.1359
77000,0.1381
78000,0.1374
79000,0.1603
80000,0.1994
81000,0.1845
82000,0.1432
83000,0.1455
84000,0.1614
85000,0.1451
86000,0.1495
87000,0.156
88000,0.1763
89000,0.1801
90000,0.1649
91000,0.1718
92000,0.1574
93000,0.1606
94000,0.1656
95000,0.157
96000,0.1826
97000,0.161
98000,0.1603
99000,0.1697
100000,0.1847
