InputSize,Time(ms)
1000,0.0018
2000,0.0023
3000,0.0035
4000,0.004
5000,0.0045
6000,0.0053
7000,0.0081
8000,0.0086
9000,0.0093
10000,0.01
11000,0.0105
12000,0.0113
13000,0.0118
14000,0.0125
15000,0.0129
16000,0.0135
17000,0.0144
18000,0.0149
19000,0.0156
20000,0.0216
21000,0.0222
22000,0.0228
23000,0.0234
24000,0.024
25000,0.0245
26000,0.0253
27000,0.0257
28000,0.0265
29000,0.0271
30000,0.0278
31000,0.0283
32000,0.0288
33000,0.0294
34000,0.0302
35000,0.0308
36000,0.0314
37000,0.0318
38000,0.0325
39000,0.0331
40000,0.0337
41000,0.0344
42000,0.035
43000,0.0355
44000,0.0362
45000,0.0369
46000,0.0375
47000,0.0379
48000,0.0386
49000,0.0394
50000,0.04
51000,0.0409
52000,0.041
53000,0.0415
54000,0.0422
55000,0.0428
56000,0.0435
57000,0.0442
58000,0.0447
59000,0.0453
60000,0.0625
61000,0.0628
62000,0.0634
63000,0.064
64000,0.0646
65000,0.0655
66000,0.0661
67000,0.0666
68000,0.0672
69000,0.0676
70000,0.0683
71000,0.069
72000,0.0693
73000,0.07
74000,0.0708
75000,0.0716
76000,0.072
77000,0.0725
78000,0.0736
79000,0.0743
80000,0.0743
81000,0.0749
82000,0.0756
83000,0.0763
84000,0.0772
85000,0.0775
86000,0.078
87000,0.0787
88000,0.0792
89000,0.0798
90000,0.0805
91000,0.0811
92000,0.0818
93000,0.0826
94000,0.0829
95000,0.0835
96000,0.0841
97000,0.0847
98000,0.0856
99000,0.0863
100000,0.0864
