InputSize,Time(ms)
1000,0.002
2000,0.0028
3000,0.0042
4000,0.0046
5000,0.0066
6000,0.0072
7000,0.0078
8000,0.0087
9000,0.0117
10000,0.0122
11000,0.0128
12000,0.0135
13000,0.014
14000,0.0149
15000,0.0153
16000,0.0159
17000,0.0212
18000,0.0217
19000,0.0223
20000,0.0229
21000,0.0235
22000,0.0241
23000,0.0247
24000,0.0253
25000,0.0259
26000,0.0265
27000,0.0275
28000,0.0279
29000,0.0287
30000,0.0293
31000,0.0297
32000,0.0302
33000,0.04
34000,0.041
35000,0.0415
36000,0.042
37000,0.0428
38000,0.0435
39000,0.0437
40000,0.0443
41000,0.0452
42000,0.0459
43000,0.0463
44000,0.0467
45000,0.0474
46000,0.0479
47000,0.0485
48000,0.0492
49000,0.0498
50000,0.0508
51000,0.0515
52000,0.0517
53000,0.0526
54000,0.0532
55000,0.0537
56000,0.0541
57000,0.0548
58000,0.0553
59000,0.0558
60000,0.0564
61000,0.057
62000,0.0582
63000,0.0586
64000,0.059
65000,0.0594
66000,0.0781
67000,0.0798
68000,0.0804
69000,0.0803
70000,0.0806
71000,0.0815
72000,0.0823
73000,0.0829
74000,0.0833
75000,0.0836
76000,0.0845
77000,0.0849
78000,0.086
79000,0.0864
80000,0.0871
81000,0.0878
82000,0.0883
83000,0.0887
84000,0.0891
85000,0.0898
86000,0.0903
87000,0.0911
88000,0.0917
89000,0.0921
90000,0.0934
91000,0.0934
92000,0.094
93000,0.0946
94000,0.0952
95000,0.0961
96000,0.0969
97000,0.0973
98000,0.0977
99000,0.0984
100000,0.0993
